aX,aY,aZ,gX,gY,gZ
-0.144,0.812,0.645,82.947,-113.037,300.537
-0.119,0.978,0.709,69.397,-103.271,291.077
-0.084,1.115,0.771,58.350,-90.576,282.776
-0.026,1.316,0.825,44.067,-77.515,274.536
0.028,1.565,0.872,30.151,-64.270,266.907
0.075,1.823,0.911,16.968,-51.086,259.827
0.099,2.042,0.915,1.038,-37.476,250.854
0.111,2.247,0.884,-18.616,-22.278,235.840
0.160,2.454,0.818,-39.001,-5.615,210.876
0.242,2.654,0.714,-53.711,10.254,177.612
0.315,2.844,0.607,-57.312,22.827,139.099
0.370,2.940,0.501,-49.438,31.311,98.145
0.416,2.950,0.399,-35.156,35.522,54.810
0.455,2.875,0.337,-17.822,35.828,10.437
0.472,2.734,0.314,-1.892,33.875,-32.593
0.459,2.575,0.311,8.179,30.884,-71.655
0.421,2.411,0.309,11.658,28.992,-105.286
0.383,2.231,0.314,9.399,28.687,-134.216
